image,x_pos1,y_pos1,x_pos2,y_pos2,thisN,thisTrialN,thisRepN,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,stop_mouse.x,stop_mouse.y,stop_mouse.leftButton,stop_mouse.midButton,stop_mouse.rightButton,stop_mouse.time,stop_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,startCross.started,start_cross.started,start_mouse.started,startCross.stopped,trials.start_mouse.x,trials.start_mouse.y,trials.start_mouse.leftButton,trials.start_mouse.midButton,trials.start_mouse.rightButton,trials.start_mouse.time,trials.start_mouse.clicked_name,showImg.started,stim_img.started,showImg.stopped,endCross.started,end_cross.started,stop_mouse.started,endCross.stopped,trials.stop_mouse.x,trials.stop_mouse.y,trials.stop_mouse.leftButton,trials.stop_mouse.midButton,trials.stop_mouse.rightButton,trials.stop_mouse.time,trials.stop_mouse.clicked_name,stim_img.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/building.png,0.33,-0.21,-0.14,-0.12,0,0,0,[0.32685185185185184],[-0.11944444444444445],[1],[0],[0],[1.543874599999981],"['start_cross', 'start_cross']",[-0.1398148148148148],[-0.11574074074074074],[1],[0],[0],[1.5004993000002287],['end_cross'],0,0,0,1,0.015532099999745697,,0.010334699999930308,0.015532099999745697,0.009755699999914214,1.5552970999997342,[0.32685185185185184],[-0.11944444444444445],[1],[0],[0],[1.543874599999981],"['start_cross', 'start_cross']",1.5760349999995924,1.5928028999996968,6.568920199999866,6.569184699999823,6.584662599999774,0.011794099999860919,8.070284499999616,[-0.1398148148148148],[-0.11574074074074074],[1],[0],[0],[1.5004993000002287],['end_cross'],,172850,001,2025-05-26_20h39.20.038,stimulus,2024.2.4,60.01197839083747,2025-05-26 20h39.26.602324 +0530,
images/laptop.png,0.3,0.28,0.42,-0.27,1,1,0,[0.29907407407407405],[-0.2657407407407407],[1],[0],[0],[1.2141371000002437],"['start_cross', 'start_cross']",[0.4185185185185185],[-0.26944444444444443],[1],[0],[0],[1.767262600000322],['end_cross'],0,1,1,5,8.084510599999703,,8.070695299999898,8.084510599999703,0.0002901000002566434,9.285432899999705,[0.29907407407407405],[-0.2657407407407407],[1],[0],[0],[1.2141371000002437],"['start_cross', 'start_cross']",9.291684799999985,9.30283449999979,14.301536499999656,14.301943599999959,14.317705599999954,0.01644449999957942,16.07007459999977,[0.4185185185185185],[-0.26944444444444443],[1],[0],[0],[1.767262600000322],['end_cross'],,172850,001,2025-05-26_20h39.20.038,stimulus,2024.2.4,60.01197839083747,2025-05-26 20h39.26.602324 +0530,
images/person.png,0.14,-0.1,-0.29,0.01,2,2,0,[0.1398148148148148],[0.009259259259259259],[1],[0],[0],[1.6664722000000438],"['start_cross', 'start_cross']",[-0.28888888888888886],[0.009259259259259259],[1],[0],[0],[1.401675399999931],['end_cross'],0,2,2,6,16.084151999999904,,16.07044369999994,16.084151999999904,0.000278600000001461,17.737912299999607,[0.1398148148148148],[0.009259259259259259],[1],[0],[0],[1.6664722000000438],"['start_cross', 'start_cross']",17.748180799999773,17.75181479999992,22.735247199999776,22.735492799999975,22.750362199999927,0.012335999999777414,24.152935299999626,[-0.28888888888888886],[0.009259259259259259],[1],[0],[0],[1.401675399999931],['end_cross'],22.750362199999927,172850,001,2025-05-26_20h39.20.038,stimulus,2024.2.4,60.01197839083747,2025-05-26 20h39.26.602324 +0530,
images/tool.png,-0.5,-0.29,-0.41,-0.21,3,3,0,[-0.5009259259259259],[-0.20555555555555555],[1],[0],[0],[2.048797800000102],"['start_cross', 'start_cross']",[-0.4074074074074074],[-0.21296296296296297],[1],[0],[0],[2.5847176000002037],['end_cross'],0,3,3,8,24.167061199999807,,24.153496299999915,24.167061199999807,0.0004177999999228632,26.20305529999996,[-0.5009259259259259],[-0.20555555555555555],[1],[0],[0],[2.048797800000102],"['start_cross', 'start_cross']",26.210104999999658,26.218628399999943,31.216913699999623,31.21717579999995,31.23368789999995,0.013976400000046851,33.802668099999664,[-0.4074074074074074],[-0.21296296296296297],[1],[0],[0],[2.5847176000002037],['end_cross'],,172850,001,2025-05-26_20h39.20.038,stimulus,2024.2.4,60.01197839083747,2025-05-26 20h39.26.602324 +0530,
images/animal.png,0.2,-0.27,0.35,-0.02,4,4,0,[0.2],[-0.020370370370370372],[1],[0],[0],[1.4319390999999086],"['start_cross', 'start_cross']",[0.34814814814814815],[-0.025],[1],[0],[0],[1.7009273999997276],['end_cross'],0,4,4,0,33.81639019999966,,33.80310929999996,33.81639019999966,0.00032630000032440876,35.23576329999969,[0.2],[-0.020370370370370372],[1],[0],[0],[1.4319390999999086],"['start_cross', 'start_cross']",35.25262329999987,35.25667029999977,40.250290999999834,40.25062039999966,40.266533699999854,0.014765999999781343,41.95228929999985,[0.34814814814814815],[-0.025],[1],[0],[0],[1.7009273999997276],['end_cross'],,172850,001,2025-05-26_20h39.20.038,stimulus,2024.2.4,60.01197839083747,2025-05-26 20h39.26.602324 +0530,
images/furniture.png,-0.4,0,-0.39,0.22,5,5,0,[-0.40185185185185185],[0.22037037037037038],[1],[0],[0],[1.4988376000001153],"['start_cross', 'start_cross']",[-0.39166666666666666],[0.2212962962962963],[1],[0],[0],[1.4356889000000592],['end_cross'],0,5,5,3,41.96680579999975,,41.95269439999993,41.96680579999975,0.00029760000006717746,43.45223799999985,[-0.40185185185185185],[0.22037037037037038],[1],[0],[0],[1.4988376000001153],"['start_cross', 'start_cross']",43.456904399999985,43.4669501999997,48.45045809999965,48.45069960000001,48.46548359999997,0.013276300000143237,49.902088999999705,[-0.39166666666666666],[0.2212962962962963],[1],[0],[0],[1.4356889000000592],['end_cross'],48.46548359999997,172850,001,2025-05-26_20h39.20.038,stimulus,2024.2.4,60.01197839083747,2025-05-26 20h39.26.602324 +0530,
images/vehicle.png,-0.36,-0.06,0.23,-0.27,6,6,0,[-0.36018518518518516],[-0.2675925925925926],[1],[0],[0],[1.8486779999998362],"['start_cross', 'start_cross']",[0.22592592592592592],[-0.2722222222222222],[1],[0],[0],[1.6679353999998057],['end_cross'],0,6,6,9,49.91601149999997,,49.90239429999974,49.91601149999997,0.0002183000001423352,51.75180189999992,[-0.36018518518518516],[-0.2675925925925926],[1],[0],[0],[1.8486779999998362],"['start_cross', 'start_cross']",51.760245799999666,51.76625369999965,56.76559469999984,56.76582059999964,56.78151439999965,0.013878100000056293,58.434300399999756,[0.22592592592592592],[-0.2722222222222222],[1],[0],[0],[1.6679353999998057],['end_cross'],,172850,001,2025-05-26_20h39.20.038,stimulus,2024.2.4,60.01197839083747,2025-05-26 20h39.26.602324 +0530,
images/game.png,0.02,0.16,0.31,0.29,7,7,0,[0.019444444444444445],[0.2935185185185185],[1],[0],[0],[1.4993696999999884],"['start_cross', 'start_cross']",[0.3055555555555556],[0.28888888888888886],[1],[0],[0],[1.9519351000003553],['end_cross'],0,7,7,4,58.448257600000034,,58.43463699999984,58.448257600000034,0.0002590999997664767,59.934750599999916,[0.019444444444444445],[0.2935185185185185],[1],[0],[0],[1.4993696999999884],"['start_cross', 'start_cross']",59.94563359999984,59.95075759999963,64.94824010000002,64.94851879999987,64.96475359999977,0.013685899999927642,66.90123049999966,[0.3055555555555556],[0.28888888888888886],[1],[0],[0],[1.9519351000003553],['end_cross'],,172850,001,2025-05-26_20h39.20.038,stimulus,2024.2.4,60.01197839083747,2025-05-26 20h39.26.602324 +0530,
images/food.png,0.41,0.3,0.48,-0.23,8,8,0,[0.4083333333333333],[-0.23148148148148148],[1],[0],[0],[1.5978406999997787],"['start_cross', 'start_cross']",[0.48148148148148145],[-0.22685185185185186],[1],[0],[0],[1.6501833999996052],['end_cross'],0,8,8,2,66.91487259999985,,66.9015629999999,66.91487259999985,0.00025359999972351943,68.49996889999966,[0.4083333333333333],[-0.23148148148148148],[1],[0],[0],[1.5978406999997787],"['start_cross', 'start_cross']",68.51102419999961,68.51587059999974,73.49957809999978,73.49982569999975,73.51477609999984,-0.00023460000011255033,75.1506218999998,[0.48148148148148145],[-0.22685185185185186],[1],[0],[0],[1.6501833999996052],['end_cross'],73.51477609999984,172850,001,2025-05-26_20h39.20.038,stimulus,2024.2.4,60.01197839083747,2025-05-26 20h39.26.602324 +0530,
images/scenery.png,-0.28,0.15,-0.12,-0.17,9,9,0,[-0.2777777777777778],[-0.17314814814814813],[1],[0],[0],[1.8148626000001968],"['start_cross', 'start_cross']",[-0.12222222222222222],[-0.16666666666666666],[1],[0],[0],[1.401073500000166],['end_cross'],0,9,9,7,75.16444579999961,,75.1511145999998,75.16444579999961,0.00033799999982875306,76.96677409999984,[-0.2777777777777778],[-0.17314814814814813],[1],[0],[0],[1.8148626000001968],"['start_cross', 'start_cross']",76.97526189999962,76.98194639999974,81.9805723999998,81.98087239999995,81.9972289999996,0.013978599999973085,83.38262659999964,[-0.12222222222222222],[-0.16666666666666666],[1],[0],[0],[1.401073500000166],['end_cross'],,172850,001,2025-05-26_20h39.20.038,stimulus,2024.2.4,60.01197839083747,2025-05-26 20h39.26.602324 +0530,
