path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,images.started,image.started,images.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.clicked_name,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\animal.jpg,0,0,0,0,0,0.005,0.008333333333333333,1,0,0,cross,0,0,0,7,0.055499900000029356,,0.04933490000001939,0.5225465000000327,1.5114066000000435,1.5260013000000185,2.0097097000000304,0.5124639000000002,2.930949700000042,0.005,0.008333333333333333,1,0,0,cross,,021052,001,2025-05-18_18h12.54.109,untitled,2024.2.4,59.731732841464726,2025-05-18 18h13.00.277383 +0530,
images\vehicle.jpg,0,0,1,1,0,0.005,0.01,1,0,0,cross,0,1,1,6,2.955964800000004,,2.949733100000003,3.4401781000000256,4.427635400000042,4.430447400000048,4.942570400000022,0.5147175999999831,5.397935899999993,0.005,0.01,1,0,0,cross,4.441380500000037,021052,001,2025-05-18_18h12.54.109,untitled,2024.2.4,59.731732841464726,2025-05-18 18h13.00.277383 +0530,
images\person.jpg,0,0,2,2,0,-0.0033333333333333335,0.006666666666666667,1,0,0,cross,0,2,2,3,5.4397902000000045,,5.426774899999998,5.910265100000004,6.896198800000036,6.900802900000031,7.409060100000033,0.51366569999999,7.997167000000047,-0.0033333333333333335,0.006666666666666667,1,0,0,cross,6.9091053000000215,021052,001,2025-05-18_18h12.54.109,untitled,2024.2.4,59.731732841464726,2025-05-18 18h13.00.277383 +0530,
"images
ature.jpg",0,0,3,3,0,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
