path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.clicked_name,images.started,image.started,image.stopped,images.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
furniture.jpg,0.1,0.4,0,0,0,0.09,0.395,1,0,0,cross,0,0,0,1,0.04000060001271777,,0.02835800001048483,0.5240437000175007,0.5255860999750439,1.4458223000110593,0.09,0.395,1,0,0,cross,1.4777433999988716,1.957993300020462,2.9584022000199184,2.9456560000253376,782988,001,2025-05-20_10h55.26.735,untitled,2024.2.4,59.93231245070119,2025-05-20 10h55.34.522534 +0530,
tool.jpg,0.3,0,1,1,0,0.28833333333333333,0.006666666666666667,1,0,0,cross,0,1,1,5,2.9584022000199184,,2.950718500011135,3.4568590999988373,0.5136872000002768,4.4644613999989815,0.28833333333333333,0.006666666666666667,1,0,0,cross,4.494609500019578,4.974409700022079,5.975507299997844,5.961662700021407,782988,001,2025-05-20_10h55.26.735,untitled,2024.2.4,59.93231245070119,2025-05-20 10h55.34.522534 +0530,
sport.jpg,-0.2,0.1,2,2,0,-0.18666666666666668,0.08666666666666667,1,0,0,cross,0,2,2,4,5.975507299997844,,5.966397000011057,6.474443000013707,0.5130601999990176,7.245331800018903,-0.18666666666666668,0.08666666666666667,1,0,0,cross,7.272235000011278,7.758201000018744,8.757919700001366,8.745489799999632,782988,001,2025-05-20_10h55.26.735,untitled,2024.2.4,59.93231245070119,2025-05-20 10h55.34.522534 +0530,
nature.jpg,-0.1,0.3,3,3,0,-0.10166666666666667,0.29,1,0,0,cross,0,3,3,2,8.757919700001366,,8.749831900000572,9.257256700017024,0.5137773000169545,9.896782800002256,-0.10166666666666667,0.29,1,0,0,cross,9.922524300025543,10.407979700015858,11.407762400020147,11.394514600018738,782988,001,2025-05-20_10h55.26.735,untitled,2024.2.4,59.93231245070119,2025-05-20 10h55.34.522534 +0530,
electronic.jpg,0.5,-0.4,4,4,0,0.5216666666666666,-0.38666666666666666,1,0,0,cross,0,4,4,9,11.407762400020147,,11.399289100023452,11.908498200005852,0.5147541999758687,12.830751500005135,0.5216666666666666,-0.38666666666666666,1,0,0,cross,12.85249400002067,13.342241100006504,14.341372100025183,14.330604600021616,782988,001,2025-05-20_10h55.26.735,untitled,2024.2.4,59.93231245070119,2025-05-20 10h55.34.522534 +0530,
person.jpg,0.2,0.2,5,5,0,0.195,0.21166666666666667,1,0,0,cross,0,5,5,3,14.341372100025183,,14.335533300007228,14.841132400004426,0.513057200005278,15.647666100005154,0.195,0.21166666666666667,1,0,0,cross,15.67986760000349,16.15779980001389,17.157964500016533,17.145170000003418,782988,001,2025-05-20_10h55.26.735,untitled,2024.2.4,59.93231245070119,2025-05-20 10h55.34.522534 +0530,
building.jpg,-0.4,-0.3,6,6,0,-0.42,-0.285,1,0,0,cross,0,6,6,8,17.157964500016533,,17.149598900025012,17.65742250002222,0.5124516999931075,18.482182900013868,-0.42,-0.285,1,0,0,cross,18.522743200010154,18.99145280002267,19.99106650002068,19.978669400006765,782988,001,2025-05-20_10h55.26.735,untitled,2024.2.4,59.93231245070119,2025-05-20 10h55.34.522534 +0530,
food.jpg,0,0.5,7,7,0,-0.025,0.47,1,0,0,cross,0,7,7,0,19.99106650002068,,19.98275010002544,20.4914297000214,0.5118953000055626,21.43054190001567,-0.025,0.47,1,0,0,cross,21.474466000014218,21.941136900015408,22.94149200001266,22.928732300002594,782988,001,2025-05-20_10h55.26.735,untitled,2024.2.4,59.93231245070119,2025-05-20 10h55.34.522534 +0530,
vehicle.jpg,-0.3,-0.1,8,8,0,-0.3466666666666667,-0.08666666666666667,1,0,0,cross,0,8,8,6,22.94149200001266,,22.93285610000021,23.44142180000199,0.5139972000033595,24.264810699998634,-0.3466666666666667,-0.08666666666666667,1,0,0,cross,24.288878100021975,24.774622900004033,25.774484200024744,25.76227230002405,782988,001,2025-05-20_10h55.26.735,untitled,2024.2.4,59.93231245070119,2025-05-20 10h55.34.522534 +0530,
animal.jpg,0.4,-0.2,9,9,0,0.4033333333333333,-0.19833333333333333,1,0,0,cross,0,9,9,7,25.774484200024744,,25.766500199999427,26.274932100001024,0.5127358000027016,27.296701900020707,0.4033333333333333,-0.19833333333333333,1,0,0,cross,27.315933800011408,27.808537000004435,28.80792069999734,28.795236600009957,782988,001,2025-05-20_10h55.26.735,untitled,2024.2.4,59.93231245070119,2025-05-20 10h55.34.522534 +0530,
