path,correct_ans,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,images.started,image.started,images.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\sport.jpg,sport,0,0,0,0,0,[-0.02],[0.0016666666666666668],[1],[0],[0],[0.8260107999999491],['cross'],0,0,0,7,0.11059079999995447,,0.10262729999999465,0.5697179999999662,1.5158461000000898,1.5389726000000792,2.011002899999994,0.5140727000000425,2.8413978000000952,[-0.02],[0.0016666666666666668],[1],[0],[0],[0.8260107999999491],['cross'],211930,001,2025-05-17_16h35.03.841,untitled,2024.2.4,60.28272598482665,2025-05-17 16h35.10.267976 +0530,
"images
ature.jpg",nature,0,0,1,1,0,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,
