path,xPos,yPos,marker,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.clicked_name,images.started,image.started,image.stopped,images.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
building.jpg,-0.4,-0.3,9,0,0,0,-0.405,-0.29333333333333333,1,0,0,cross,0,0,0,8,0.08536279999998442,,0.07848680000006425,0.5191376000000218,0.5221375999999509,2.2776323000000502,-0.405,-0.29333333333333333,1,0,0,cross,2.34319430000005,2.78763129999993,3.802039299999933,3.7755970000000616,410719,001,2025-05-22_09h44.58.160,untitled,2024.2.4,60.40347102500962,2025-05-22 09h45.07.170060 +0530,
sport.jpg,-0.2,0.1,5,1,1,0,-0.19666666666666666,0.125,1,0,0,cross,0,1,1,4,3.802039299999933,,3.780930000000126,4.286023800000066,0.5119138000000021,5.276662100000067,-0.19666666666666666,0.125,1,0,0,cross,5.327369900000122,5.788172799999984,,6.789833300000055,410719,001,2025-05-22_09h44.58.160,untitled,2024.2.4,60.40347102500962,2025-05-22 09h45.07.170060 +0530,
food.jpg,0,0.5,1,2,2,0,-0.03833333333333333,0.475,1,0,0,cross,0,2,2,0,6.802734099999952,,6.794928600000048,7.287495199999967,0.5144585000000461,8.811932099999922,-0.03833333333333333,0.475,1,0,0,cross,8.871045600000116,9.32027549999998,10.320221299999957,10.308299300000044,410719,001,2025-05-22_09h44.58.160,untitled,2024.2.4,60.40347102500962,2025-05-22 09h45.07.170060 +0530,
electronic.jpg,0.5,-0.4,10,3,3,0,0.505,-0.395,1,0,0,cross,0,3,3,9,10.320221299999957,,10.31366109999999,10.820274500000096,0.5107358000000204,13.228892999999971,0.505,-0.395,1,0,0,cross,13.260194400000046,13.736456099999941,14.736761300000126,14.723801399999957,410719,001,2025-05-22_09h44.58.160,untitled,2024.2.4,60.40347102500962,2025-05-22 09h45.07.170060 +0530,
furniture.jpg,0.1,0.4,2,4,4,0,0.09,0.415,1,0,0,cross,0,4,4,1,14.736761300000126,,14.728697499999953,15.236518599999954,0.5109867000001032,16.377603399999998,0.09,0.415,1,0,0,cross,16.428536699999995,16.887828200000058,17.90262490000009,17.87455840000007,410719,001,2025-05-22_09h44.58.160,untitled,2024.2.4,60.40347102500962,2025-05-22 09h45.07.170060 +0530,
person.jpg,0.2,0.2,4,5,5,0,0.20666666666666667,0.20166666666666666,1,0,0,cross,0,5,5,3,17.90262490000009,,17.881319000000076,18.387707900000123,0.5141140999999152,19.30914460000008,0.20666666666666667,0.20166666666666666,1,0,0,cross,19.354094499999974,19.821582000000035,20.820539300000064,20.809166499999947,410719,001,2025-05-22_09h44.58.160,untitled,2024.2.4,60.40347102500962,2025-05-22 09h45.07.170060 +0530,
tool.jpg,0.3,0,6,6,6,0,0.305,0.01,1,0,0,cross,0,6,6,5,20.820539300000064,,20.813826399999925,21.320294300000114,0.5149227000001702,22.74374489999991,0.305,0.01,1,0,0,cross,22.797809500000085,23.253518299999996,24.26933669999994,24.242687400000023,410719,001,2025-05-22_09h44.58.160,untitled,2024.2.4,60.40347102500962,2025-05-22 09h45.07.170060 +0530,
animal.jpg,0.4,-0.2,8,7,7,0,0.4033333333333333,-0.185,1,0,0,cross,0,7,7,7,24.26933669999994,,24.248940100000027,24.753437500000018,0.512624599999981,25.825208900000007,0.4033333333333333,-0.185,1,0,0,cross,25.8596821000001,26.336834200000112,27.33693870000002,27.32519789999992,410719,001,2025-05-22_09h44.58.160,untitled,2024.2.4,60.40347102500962,2025-05-22 09h45.07.170060 +0530,
vehicle.jpg,-0.3,-0.1,7,8,8,0,-0.305,-0.09666666666666666,1,0,0,cross,0,8,8,6,27.33693870000002,,27.330418100000088,27.83719279999991,0.5149681999998847,28.676982400000043,-0.305,-0.09666666666666666,1,0,0,cross,28.703711600000133,29.187239200000022,30.187515099999928,30.174555600000076,410719,001,2025-05-22_09h44.58.160,untitled,2024.2.4,60.40347102500962,2025-05-22 09h45.07.170060 +0530,
nature.jpg,-0.1,0.3,3,9,9,0,-0.115,0.305,1,0,0,cross,0,9,9,2,30.187515099999928,,30.17913139999996,30.686703999999963,0.5132144000001517,31.74416670000005,-0.115,0.305,1,0,0,cross,31.79172799999992,32.25364600000012,33.25407560000008,33.24153309999997,410719,001,2025-05-22_09h44.58.160,untitled,2024.2.4,60.40347102500962,2025-05-22 09h45.07.170060 +0530,
