path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.clicked_name,images.started,image.started,image.stopped,images.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.016694300051312894,0.017466899997089058,,,,,,,,,,,,,,,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
food.jpg,0,0.5,0,0,0,-0.03,0.4633333333333333,1,0,0,cross,0,0,0,0,0.04634660005103797,,,,0.03099250001832843,0.5479307000059634,0.500583499961067,1.604660300014075,-0.03,0.4633333333333333,1,0,0,cross,1.654928000003565,2.11466580000706,3.1307136000250466,3.1024600000237115,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
furniture.jpg,0.1,0.4,1,1,0,0.10833333333333334,0.39,1,0,0,cross,0,1,1,1,3.1307136000250466,,,,3.1102304000523873,3.6145354000036605,0.5129516000160947,4.5194863000069745,0.10833333333333334,0.39,1,0,0,cross,4.546769000007771,5.031877800007351,6.031690800038632,6.01902720000362,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
nature.jpg,-0.1,0.3,2,2,0,-0.08666666666666667,0.31666666666666665,1,0,0,cross,0,2,2,2,6.031690800038632,,,,6.024599600001238,6.531659300031606,0.5154163000406697,7.187425300013274,-0.08666666666666667,0.31666666666666665,1,0,0,cross,7.216071900038514,7.698041600000579,8.698738000006415,8.686157900025137,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
person.jpg,0.2,0.2,3,3,0,0.20166666666666666,0.20166666666666666,1,0,0,cross,0,3,3,3,8.698738000006415,,,,8.691734000050928,9.199421700031962,0.5159714999608696,10.003522900049575,0.20166666666666666,0.20166666666666666,1,0,0,cross,10.03322240000125,10.514671700017061,11.514164200052619,11.502130100037903,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
sport.jpg,-0.2,0.1,4,4,0,-0.19,0.115,1,0,0,cross,0,4,4,4,11.514164200052619,,,,11.50835180003196,12.015441099996679,0.5153355000074953,12.739179400028661,-0.19,0.115,1,0,0,cross,12.765284900029656,13.248647100001108,14.247791600006167,14.235722300014459,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
tool.jpg,0.3,0,5,5,0,0.31833333333333336,-0.0016666666666666668,1,0,0,cross,0,5,5,5,14.247791600006167,,,,14.241572600032669,14.749456400051713,0.5129073999705724,15.471178000036161,0.31833333333333336,-0.0016666666666666668,1,0,0,cross,15.500673600006849,15.98214390000794,16.982969000004232,16.970048600051086,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
vehicle.jpg,-0.3,-0.1,6,6,0,-0.275,-0.09833333333333333,1,0,0,cross,0,6,6,6,16.982969000004232,,,,16.97474480001256,17.482087300042622,0.5141179999918677,18.103977100050543,-0.275,-0.09833333333333333,1,0,0,cross,18.12588520004647,18.61496730003273,19.614775000023656,19.602714200038463,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
animal.jpg,0.4,-0.2,7,7,0,0.37833333333333335,-0.19333333333333333,1,0,0,cross,0,7,7,7,19.614775000023656,,,,19.608306600013748,20.11538550001569,0.5146285999799147,20.77128280000761,0.37833333333333335,-0.19333333333333333,1,0,0,cross,20.792965900036506,21.281729000038467,22.281807400053367,22.26885220000986,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
building.jpg,-0.4,-0.3,8,8,0,-0.4033333333333333,-0.2866666666666667,1,0,0,cross,0,8,8,8,22.281807400053367,,,,22.274709500023164,22.78186640003696,0.5140175999840721,23.969928900012746,-0.4033333333333333,-0.2866666666666667,1,0,0,cross,24.00778100005118,24.481971100030933,25.481846000009682,25.469785000022966,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
electronic.jpg,0.5,-0.4,9,9,0,0.5016666666666667,-0.395,1,0,0,cross,0,9,9,9,25.481846000009682,,,,25.475187700008973,25.981471900013275,0.5146821999805979,27.103352700010873,0.5016666666666667,-0.395,1,0,0,cross,27.129856900020968,27.615408800018486,28.615001800004393,28.602697300026193,398813,001,2025-05-26_19h53.41.896,untitled,2024.2.4,60.06150297189586,2025-05-26 19h53.47.270269 +0530,
