path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,images.started,image.started,images.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\furniture.jpg,0.2,0.1,0,0,0,[0.2075],[0.10583333333333333],[1],[0],[0],[0.7847690999999486],['cross'],0,0,0,4,0.035999100000026374,,0.033190200000035475,0.5119164000000183,1.504552799999999,1.5123136999999929,2.0031544999999937,0.5032004999999913,2.789661100000046,[0.2075],[0.10583333333333333],[1],[0],[0],[0.7847690999999486],['cross'],,582760,001,2025-05-18_10h46.22.226,untitled,2024.2.4,60.16930438868965,2025-05-18 10h46.28.586812 +0530,
images\building.jpg,-0.1,0.4,1,1,0,[-0.10416666666666667],[0.4025],[1],[0],[0],[0.8179920999999695],['cross'],0,1,1,1,2.8334322000000043,,2.8285594000000174,3.3038458000000333,4.2892676000000165,4.295201500000019,4.803556900000046,0.5142505000000028,5.623694499999999,[-0.10416666666666667],[0.4025],[1],[0],[0],[0.8179920999999695],['cross'],4.30374420000004,582760,001,2025-05-18_10h46.22.226,untitled,2024.2.4,60.16930438868965,2025-05-18 10h46.28.586812 +0530,
images\sport.jpg,0.4,-0.2,2,2,0,[0.39916666666666667],[-0.1875],[1],[0],[0],[0.9345099999999888],['cross'],0,2,2,7,5.654446699999994,,5.649078800000041,6.136750699999993,7.122117600000024,7.127272800000014,7.637007299999993,0.5137824000000251,8.573443200000042,[0.39916666666666667],[-0.1875],[1],[0],[0],[0.9345099999999888],['cross'],7.137451200000044,582760,001,2025-05-18_10h46.22.226,untitled,2024.2.4,60.16930438868965,2025-05-18 10h46.28.586812 +0530,
images\food.jpg,-0.2,0.2,3,3,0,[-0.22166666666666668],[0.20583333333333334],[1],[0],[0],[0.7328570999999897],['cross'],0,3,3,3,8.614919600000007,,8.611632500000042,9.087428799999998,10.074535200000014,10.081700100000035,10.587000900000021,0.5137017999999784,11.321183100000042,[-0.22166666666666668],[0.20583333333333334],[1],[0],[0],[0.7328570999999897],['cross'],10.08656719999999,582760,001,2025-05-18_10h46.22.226,untitled,2024.2.4,60.16930438868965,2025-05-18 10h46.28.586812 +0530,
images\animal.jpg,0,0.5,4,4,0,[-0.0025],[0.49666666666666665],[1],[0],[0],[0.9510670000000232],['cross'],0,4,4,0,11.359737800000005,,11.357313000000033,11.837184800000045,12.822246900000039,12.828223700000024,13.337129100000027,0.5164662000000249,14.290336000000025,[-0.0025],[0.49666666666666665],[1],[0],[0],[0.9510670000000232],['cross'],12.837197800000013,582760,001,2025-05-18_10h46.22.226,untitled,2024.2.4,60.16930438868965,2025-05-18 10h46.28.586812 +0530,
images\electronic.jpg,0.1,0.3,5,5,0,[0.11166666666666666],[0.30916666666666665],[1],[0],[0],[0.9676340000000323],['cross'],0,5,5,2,14.317609100000027,,14.314237400000025,14.803819300000043,15.789020600000015,15.795503200000041,16.303473499999996,0.5132514000000015,17.272690400000045,[0.11166666666666666],[0.30916666666666665],[1],[0],[0],[0.9676340000000323],['cross'],15.803674999999998,582760,001,2025-05-18_10h46.22.226,untitled,2024.2.4,60.16930438868965,2025-05-18 10h46.28.586812 +0530,
images\person.jpg,-0.3,-0.1,6,6,0,[-0.2816666666666667],[-0.09333333333333334],[1],[0],[0],[0.6838031999999998],['cross'],0,6,6,6,17.30596250000002,,17.3018146,17.786890400000004,18.7723254,18.777697700000033,19.287038300000006,0.5146522999999661,19.972634700000015,[-0.2816666666666667],[-0.09333333333333334],[1],[0],[0],[0.6838031999999998],['cross'],18.786967199999992,582760,001,2025-05-18_10h46.22.226,untitled,2024.2.4,60.16930438868965,2025-05-18 10h46.28.586812 +0530,
images\vehicle.jpg,0.5,-0.4,7,7,0,[0.5008333333333334],[-0.3933333333333333],[1],[0],[0],[1.2024109999999837],['cross'],0,7,7,9,19.99048210000001,,19.985710900000015,20.486864700000012,21.4716497,21.476990700000044,21.98651060000003,0.5139811999999893,23.19034590000001,[0.5008333333333334],[-0.3933333333333333],[1],[0],[0],[1.2024109999999837],['cross'],21.487422500000037,582760,001,2025-05-18_10h46.22.226,untitled,2024.2.4,60.16930438868965,2025-05-18 10h46.28.586812 +0530,
images\tool.jpg,-0.4,-0.3,8,8,0,[-0.4008333333333333],[-0.2841666666666667],[1],[0],[0],[0.7685198000000355],['cross'],0,8,8,8,23.222413200000005,,23.219199800000013,23.7041155,24.68871310000003,24.694228199999998,25.20368450000001,0.5134317000000124,25.973683800000003,[-0.4008333333333333],[-0.2841666666666667],[1],[0],[0],[0.7685198000000355],['cross'],24.703575999999998,582760,001,2025-05-18_10h46.22.226,untitled,2024.2.4,60.16930438868965,2025-05-18 10h46.28.586812 +0530,
"images
ature.jpg",0.3,0,9,9,0,,,,,,,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,
