path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,images.started,image.started,image.stopped,images.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\building.jpg,-0.1,0.4,0,0,0,[-0.10416666666666667],[0.40166666666666667],[1],[0],[0],[1.1918788000000404],['cross'],0,0,0,1,0.028415699999868593,,0.025112600000056773,0.5219288999999208,0.5216424999998708,1.7154921999999715,[-0.10416666666666667],[0.40166666666666667],[1],[0],[0],[1.1918788000000404],['cross'],1.752139199999874,2.2292752999999266,3.229247799999939,3.2141013000000385,355845,001,2025-05-18_11h01.18.289,untitled,2024.2.4,59.87597290978412,2025-05-18 11h01.24.315344 +0530,
images\electronic.jpg,0.1,0.3,1,1,0,[0.10083333333333333],[0.3025],[1],[0],[0],[1.2852170000001024],['cross'],0,1,1,2,3.229247799999939,,3.2195208999999068,3.7286002999999255,0.5132275999999365,5.015237899999875,[0.10083333333333333],[0.3025],[1],[0],[0],[1.2852170000001024],['cross'],5.04332989999989,5.5296644000000015,6.52909069999987,6.514485899999954,355845,001,2025-05-18_11h01.18.289,untitled,2024.2.4,59.87597290978412,2025-05-18 11h01.24.315344 +0530,
"images
ature.jpg",0.3,0,2,2,0,,,,,,,,0,2,2,5,6.52909069999987,,6.519640799999934,7.029985200000056,0.5147150000000238,8.632257299999992,[0.2925],[0.0033333333333333335],[1],[0],[0],[1.6008004000000255],['cross'],,,,,,,,,,,,
