path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,images.started,image.started,images.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\food.jpg,0,0,0,0,0,[-0.0033333333333333335],[0.0033333333333333335],[1],[0],[0],[0.9998777999999788],['cross'],0,0,0,3,0.0739691999999934,,0.058209900000008474,0.5255425000000002,1.5097776000000067,1.521353199999993,2.0087226999999928,0.5108979000000033,3.0118434999999977,[-0.0033333333333333335],[0.0033333333333333335],[1],[0],[0],[0.9998777999999788],['cross'],261954,001,2025-05-18_14h39.13.375,untitled,2024.2.4,60.16401914900989,2025-05-18 14h39.19.109675 +0530,
"images
ature.jpg",0,0,1,1,0,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,
