path,xPos,yPos,marker,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.clicked_name,images.started,image.started,image.stopped,images.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.015921199999993974,0.016395399999993288,,,,,,,,,,,,,,,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
tool.jpg,0.3,0,6,0,0,0,0.30666666666666664,0.005,1,0,0,cross,0,0,0,5,0.06390269999999987,,,,0.048579899999992904,0.5476539999999943,0.49923880000000054,1.9327523000000042,0.30666666666666664,0.005,1,0,0,cross,1.9597949999999997,2.448255000000003,3.447373799999994,3.433089299999992,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
nature.jpg,-0.1,0.3,3,1,1,0,-0.10166666666666667,0.2916666666666667,1,0,0,cross,0,1,1,2,3.447373799999994,,,,3.4352997000000016,3.9471831000000037,0.49912940000000106,4.849394899999993,-0.10166666666666667,0.2916666666666667,1,0,0,cross,4.871637199999995,5.364242000000004,,6.350143700000004,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
building.jpg,-0.4,-0.3,9,2,2,0,-0.3933333333333333,-0.2916666666666667,1,0,0,cross,0,2,2,8,6.364132599999991,,,,6.353643199999993,6.865177700000004,0.5029315000000025,8.136179599999991,-0.3933333333333333,-0.2916666666666667,1,0,0,cross,8.194529899999992,8.648907800000003,9.6472823,9.635384200000004,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
furniture.jpg,0.1,0.4,2,3,3,0,0.11166666666666666,0.39666666666666667,1,0,0,cross,0,3,3,1,9.6472823,,,,9.639651399999991,10.148186699999997,0.5151130999999936,11.271469100000004,0.11166666666666666,0.39666666666666667,1,0,0,cross,11.321989899999991,11.7820569,12.78194719999999,12.769738500000003,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
vehicle.jpg,-0.3,-0.1,7,4,4,0,-0.305,-0.09666666666666666,1,0,0,cross,0,4,4,6,12.78194719999999,,,,12.774997599999992,13.281988499999997,0.5135487000000012,14.305496399999996,-0.305,-0.09666666666666666,1,0,0,cross,14.3465068,14.814871199999999,15.8153188,15.802860699999997,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
food.jpg,0,0.5,1,5,5,0,0.025,0.4533333333333333,1,0,0,cross,0,5,5,0,15.8153188,,,,15.808326699999995,16.314951199999996,0.5122067000000072,17.6375063,0.025,0.4533333333333333,1,0,0,cross,17.690544099999997,18.1486551,19.14841609999999,19.136313599999994,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
electronic.jpg,0.5,-0.4,10,6,6,0,0.51,-0.38666666666666666,1,0,0,cross,0,6,6,9,19.14841609999999,,,,19.143095700000003,19.649088199999994,0.5148683000000034,20.68728639999999,0.51,-0.38666666666666666,1,0,0,cross,20.736126999999996,21.199535400000002,,22.202384100000003,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
animal.jpg,0.4,-0.2,8,7,7,0,0.405,-0.19333333333333333,1,0,0,cross,0,7,7,7,22.214994199999992,,,,22.20754579999999,22.699117299999997,0.5148543999999902,23.7540592,0.405,-0.19333333333333333,1,0,0,cross,23.7987064,24.2659917,25.26530079999999,25.2531288,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
person.jpg,0.2,0.2,4,8,8,0,0.21166666666666667,0.20833333333333334,1,0,0,cross,0,8,8,3,25.26530079999999,,,,25.258826400000004,25.765152200000003,0.5142754999999966,26.936892900000004,0.21166666666666667,0.20833333333333334,1,0,0,cross,26.988674000000003,27.449132399999996,28.448408799999996,28.4370512,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
sport.jpg,-0.2,0.1,5,9,9,0,-0.2,0.095,1,0,0,cross,0,9,9,4,28.448408799999996,,,,28.442336999999995,28.949265699999998,0.5158333000000113,29.836939099999995,-0.2,0.095,1,0,0,cross,29.884076899999997,30.348939799999997,31.349277200000003,31.3368562,460323,001,2025-05-22_21h14.28.613,untitled,2024.2.4,60.08644035309026,2025-05-22 21h14.33.242646 +0530,
