path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,images.started,image.started,images.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\food.jpg,0,0,0,0,0,[0.0016666666666666668],[0.005],[1],[0],[0],[1.5180906999999877],['cross'],0,0,0,0,0.12113279999999804,,0.10340109999998504,0.5387614999999926,1.5080549999999846,1.5362274000000014,2.004775599999988,0.5079011999999921,3.5274446999999896,[0.0016666666666666668],[0.005],[1],[0],[0],[1.5180906999999877],['cross'],111495,001,2025-05-18_15h53.10.511,untitled,2024.2.4,60.304283352942576,2025-05-18 15h53.17.329576 +0530,
"images
ature.jpg",0,0,1,1,0,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,
