path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,images.started,image.started,images.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\tool.jpg,-0.4,-0.3,0,0,0,[-0.415],[-0.3],[1],[0],[0],[0.8836165999999821],['cross'],0,0,0,8,0.044345300000031784,,0.04025500000000193,0.519843499999979,1.512275700000032,1.519346799999994,2.0110945999999785,0.511090299999978,2.8964600000000473,[-0.415],[-0.3],[1],[0],[0],[0.8836165999999821],['cross'],,407515,001,2025-05-18_10h52.14.818,untitled,2024.2.4,59.95570472536803,2025-05-18 10h52.20.833418 +0530,
images\furniture.jpg,0.2,0.1,1,1,0,[0.20416666666666666],[0.13583333333333333],[1],[0],[0],[0.617405500000018],['cross'],0,1,1,4,2.930573500000037,,2.925803100000053,3.4111692000000176,4.395715999999993,4.401474900000039,4.911364000000049,0.5152037999999948,5.530474499999968,[0.20416666666666666],[0.13583333333333333],[1],[0],[0],[0.617405500000018],['cross'],4.410978,407515,001,2025-05-18_10h52.14.818,untitled,2024.2.4,59.95570472536803,2025-05-18 10h52.20.833418 +0530,
"images
ature.jpg",0.3,0,2,2,0,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,
