path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,images.started,image.started,images.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\building.jpg,-0.1,0.4,0,0,0,[-0.1],[0.405],[1],[0],[0],[0.880855500000024],['cross'],0,0,0,1,0.07360180000000582,,0.05458070000000248,0.5243271999999877,1.513264300000003,1.5184754999999939,2.0096365999999932,0.5129658999999833,2.895495799999992,[-0.1],[0.405],[1],[0],[0],[0.880855500000024],['cross'],,941587,001,2025-05-18_10h44.36.259,untitled,2024.2.4,60.00376823664325,2025-05-18 10h44.41.051199 +0530,
images\tool.jpg,-0.4,-0.3,1,1,0,[-0.39166666666666666],[-0.2866666666666667],[1],[0],[0],[0.8996826999999996],['cross'],0,1,1,8,2.924560999999983,,2.919641399999989,3.4074784999999963,4.408241699999991,4.411327199999988,4.906796100000008,0.5140643000000011,5.810039599999982,[-0.39166666666666666],[-0.2866666666666667],[1],[0],[0],[0.8996826999999996],['cross'],,941587,001,2025-05-18_10h44.36.259,untitled,2024.2.4,60.00376823664325,2025-05-18 10h44.41.051199 +0530,
images\animal.jpg,0,0.5,2,2,0,[0.005],[0.49666666666666665],[1],[0],[0],[0.9329079999999976],['cross'],0,2,2,0,5.857031799999987,,5.837541200000004,6.323834799999986,7.310589999999991,7.315749199999999,7.826427300000006,0.5026077999999927,8.746941700000008,[0.005],[0.49666666666666665],[1],[0],[0],[0.9329079999999976],['cross'],,941587,001,2025-05-18_10h44.36.259,untitled,2024.2.4,60.00376823664325,2025-05-18 10h44.41.051199 +0530,
images\sport.jpg,0.4,-0.2,3,3,0,[0.41],[-0.195],[1],[0],[0],[1.0014003000000002],['cross'],0,3,3,7,8.790359699999982,,8.770241499999997,9.258516600000007,10.2609645,10.266901899999993,10.75735499999999,0.5138193999999885,11.7634161,[0.41],[-0.195],[1],[0],[0],[1.0014003000000002],['cross'],,941587,001,2025-05-18_10h44.36.259,untitled,2024.2.4,60.00376823664325,2025-05-18 10h44.41.051199 +0530,
images\person.jpg,-0.3,-0.1,4,4,0,[-0.28],[-0.085],[1],[0],[0],[0.7365325000000098],['cross'],0,4,4,6,11.807997400000005,,11.794032499999986,12.274636299999997,13.26263929999999,13.267668700000002,13.774710499999998,0.5143761999999867,14.515606200000008,[-0.28],[-0.085],[1],[0],[0],[0.7365325000000098],['cross'],13.27474079999999,941587,001,2025-05-18_10h44.36.259,untitled,2024.2.4,60.00376823664325,2025-05-18 10h44.41.051199 +0530,
images\vehicle.jpg,0.5,-0.4,5,5,0,[0.5083333333333333],[-0.39666666666666667],[1],[0],[0],[1.1343771999999888],['cross'],0,5,5,9,14.541581399999984,,14.530046800000008,15.025594999999981,16.011803299999997,16.01693259999999,16.524375399999997,0.5117199999999968,17.6627326,[0.5083333333333333],[-0.39666666666666667],[1],[0],[0],[1.1343771999999888],['cross'],16.025680300000005,941587,001,2025-05-18_10h44.36.259,untitled,2024.2.4,60.00376823664325,2025-05-18 10h44.41.051199 +0530,
images\electronic.jpg,0.1,0.3,6,6,0,[0.07833333333333334],[0.29333333333333333],[1],[0],[0],[0.6825292999999704],['cross'],0,6,6,2,17.707667200000003,,17.687135100000006,18.174597199999994,19.1636369,19.167987600000004,19.67655879999998,0.5173168000000032,20.36354350000002,[0.07833333333333334],[0.29333333333333333],[1],[0],[0],[0.6825292999999704],['cross'],19.17540839999998,941587,001,2025-05-18_10h44.36.259,untitled,2024.2.4,60.00376823664325,2025-05-18 10h44.41.051199 +0530,
images\furniture.jpg,0.2,0.1,7,7,0,[0.21666666666666667],[0.10833333333333334],[1],[0],[0],[0.5849066000000107],['cross'],0,7,7,4,20.408354599999967,,20.39048840000001,20.874484200000012,21.860986300000008,21.865672699999976,22.374075799999986,0.5136085000000321,22.96316349999998,[0.21666666666666667],[0.10833333333333334],[1],[0],[0],[0.5849066000000107],['cross'],21.873610799999966,941587,001,2025-05-18_10h44.36.259,untitled,2024.2.4,60.00376823664325,2025-05-18 10h44.41.051199 +0530,
images\food.jpg,-0.2,0.2,8,8,0,[-0.21833333333333332],[0.20333333333333334],[1],[0],[0],[0.5854505999999446],['cross'],0,8,8,3,23.02484050000001,,23.009121399999998,23.4756644,24.47739709999999,24.483937899999972,24.974810399999996,0.5146483999999987,25.564431400000018,[-0.21833333333333332],[0.20333333333333334],[1],[0],[0],[0.5854505999999446],['cross'],,941587,001,2025-05-18_10h44.36.259,untitled,2024.2.4,60.00376823664325,2025-05-18 10h44.41.051199 +0530,
"images
ature.jpg",0.3,0,9,9,0,,,,,,,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,
