path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,images.started,image.started,images.stopped,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\person.jpg,-0.3,-0.1,0,0,0,[-0.29833333333333334],[-0.09833333333333333],[1],[0],[0],[1.7177643999999646],['cross'],0,0,0,6,0.04389419999995425,,0.030054599999971288,0.5282575999999608,0.5301203000000214,2.249097499999948,[-0.29833333333333334],[-0.09833333333333333],[1],[0],[0],[1.7177643999999646],['cross'],2.275693799999999,2.7625582999999097,3.764330399999949,,672961,001,2025-05-18_10h57.30.489,untitled,2024.2.4,59.82181474259376,2025-05-18 10h57.34.853888 +0530,
images\electronic.jpg,0.1,0.3,1,1,0,[0.10166666666666667],[0.29833333333333334],[1],[0],[0],[1.6517774000000145],['cross'],0,1,1,2,3.7777608999999757,,3.768891499999995,4.261950099999922,0.4992429000000129,5.901514799999973,[0.10166666666666667],[0.29833333333333334],[1],[0],[0],[1.6517774000000145],['cross'],5.925622900000008,6.4113907999999356,7.397589599999947,7.411078099999941,672961,001,2025-05-18_10h57.30.489,untitled,2024.2.4,59.82181474259376,2025-05-18 10h57.34.853888 +0530,
images\vehicle.jpg,0.5,-0.4,2,2,0,[0.5016666666666667],[-0.40166666666666667],[1],[0],[0],[1.650867500000004],['cross'],0,2,2,9,7.411078099999941,,7.401976099999956,7.9108238999999685,0.5127062999999907,9.566114599999992,[0.5016666666666667],[-0.40166666666666667],[1],[0],[0],[1.650867500000004],['cross'],9.587174599999912,10.07795509999994,11.065986099999918,11.07857459999991,672961,001,2025-05-18_10h57.30.489,untitled,2024.2.4,59.82181474259376,2025-05-18 10h57.34.853888 +0530,
images\food.jpg,-0.2,0.2,3,3,0,[-0.2],[0.19833333333333333],[1],[0],[0],[1.7172719000000143],['cross'],0,3,3,3,11.07857459999991,,11.070966699999985,11.578243999999927,0.5157233999999562,13.300432999999998,[-0.2],[0.19833333333333333],[1],[0],[0],[1.7172719000000143],['cross'],13.334481199999914,13.81135699999993,14.797334999999975,14.811286599999903,672961,001,2025-05-18_10h57.30.489,untitled,2024.2.4,59.82181474259376,2025-05-18 10h57.34.853888 +0530,
"images
ature.jpg",0.3,0,4,4,0,,,,,,,,0,4,4,5,14.811286599999903,,14.801527999999962,15.312949500000059,0.5158288999998604,16.55115529999989,[0.2966666666666667],[0.005],[1],[0],[0],[1.2338633000001664],['cross'],,,,,,,,,,,,
