path,xPos,yPos,marker,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.clicked_name,images.started,image.started,images.stopped,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
person.jpg,0.2,0.2,4,0,0,0,0.195,0.22166666666666668,1,0,0,cross,0,0,0,3,0.052026200000000244,,0.04234600000006594,0.5370205000000396,0.5393903000000364,1.4396714000000657,0.195,0.22166666666666668,1,0,0,cross,1.4613160999999764,1.9541520000000219,2.95675940000001,,519005,001,2025-05-22_09h23.03.288,untitled,2024.2.4,60.55310416403133,2025-05-22 09h23.08.688882 +0530,
tool.jpg,0.3,0,6,1,1,0,0.28833333333333333,0.015,1,0,0,cross,0,1,1,5,2.9699728000000505,,2.9620505999999978,3.4543006000000105,0.5003913000000466,4.726655499999993,0.28833333333333333,0.015,1,0,0,cross,4.751604000000043,5.2371195000000625,6.223615800000061,6.23656440000002,519005,001,2025-05-22_09h23.03.288,untitled,2024.2.4,60.55310416403133,2025-05-22 09h23.08.688882 +0530,
building.jpg,-0.4,-0.3,9,2,2,0,-0.38666666666666666,-0.28833333333333333,1,0,0,cross,0,2,2,8,6.23656440000002,,6.229025200000024,6.736235899999997,0.5124612999999272,7.758825300000012,-0.38666666666666666,-0.28833333333333333,1,0,0,cross,7.796308199999999,8.270734500000003,9.27313300000003,,519005,001,2025-05-22_09h23.03.288,untitled,2024.2.4,60.55310416403133,2025-05-22 09h23.08.688882 +0530,
animal.jpg,0.4,-0.2,8,3,3,0,0.3983333333333333,-0.21,1,0,0,cross,0,3,3,7,9.287303300000076,,9.278579499999978,9.76977670000008,0.5139710999999352,11.32672910000008,0.3983333333333333,-0.21,1,0,0,cross,11.35489419999999,11.836825800000042,12.82389390000003,12.83717839999997,519005,001,2025-05-22_09h23.03.288,untitled,2024.2.4,60.55310416403133,2025-05-22 09h23.08.688882 +0530,
nature.jpg,-0.1,0.3,3,4,4,0,-0.11833333333333333,0.30833333333333335,1,0,0,cross,0,4,4,2,12.83717839999997,,12.829450300000076,13.336801200000082,0.5131173000000899,14.708779499999991,-0.11833333333333333,0.30833333333333335,1,0,0,cross,14.735763799999972,15.219871200000057,16.207502800000043,16.220684600000027,519005,001,2025-05-22_09h23.03.288,untitled,2024.2.4,60.55310416403133,2025-05-22 09h23.08.688882 +0530,
food.jpg,0,0.5,1,5,5,0,-0.03166666666666667,0.4816666666666667,1,0,0,cross,0,5,5,0,16.220684600000027,,16.212677900000017,16.720137000000022,0.5146273999999949,17.758943799999997,-0.03166666666666667,0.4816666666666667,1,0,0,cross,17.797053600000027,18.270273299999985,19.25789020000002,19.270065199999976,519005,001,2025-05-22_09h23.03.288,untitled,2024.2.4,60.55310416403133,2025-05-22 09h23.08.688882 +0530,
furniture.jpg,0.1,0.4,2,6,6,0,0.11166666666666666,0.4216666666666667,1,0,0,cross,0,6,6,1,19.270065199999976,,19.264253199999985,19.77021960000002,0.5147375999999895,20.65742499999999,0.11166666666666666,0.4216666666666667,1,0,0,cross,20.69060280000008,21.171935200000007,22.173448099999973,,519005,001,2025-05-22_09h23.03.288,untitled,2024.2.4,60.55310416403133,2025-05-22 09h23.08.688882 +0530,
vehicle.jpg,-0.3,-0.1,7,7,7,0,-0.30333333333333334,-0.10333333333333333,1,0,0,cross,0,7,7,6,22.1868475,,22.17924419999997,22.670170900000016,0.49905599999999595,24.41079810000008,-0.30333333333333334,-0.10333333333333333,1,0,0,cross,24.425958100000003,24.91983879999998,25.908034000000043,25.920133400000054,519005,001,2025-05-22_09h23.03.288,untitled,2024.2.4,60.55310416403133,2025-05-22 09h23.08.688882 +0530,
sport.jpg,-0.2,0.1,5,8,8,0,-0.19,0.11333333333333333,1,0,0,cross,0,8,8,4,25.920133400000054,,25.912782300000003,26.421365400000013,0.5136403999999857,27.593763200000012,-0.19,0.11333333333333333,1,0,0,cross,27.61626160000003,28.104304400000046,29.090946400000007,29.104340800000045,519005,001,2025-05-22_09h23.03.288,untitled,2024.2.4,60.55310416403133,2025-05-22 09h23.08.688882 +0530,
electronic.jpg,0.5,-0.4,10,9,9,0,0.505,-0.395,1,0,0,cross,0,9,9,9,29.104340800000045,,29.096025600000075,29.603581200000008,0.5128479999999627,31.010428100000013,0.505,-0.395,1,0,0,cross,31.038433000000055,31.52005470000006,32.509096399999976,32.5206948,519005,001,2025-05-22_09h23.03.288,untitled,2024.2.4,60.55310416403133,2025-05-22 09h23.08.688882 +0530,
