path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,images.started,image.started,images.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\food.jpg,0,0,0,0,0,[-0.005],[0.0016666666666666668],[1],[0],[0],[1.6684300000000007],['cross'],0,0,0,0,0.10611340000002656,,0.07541500000002088,0.10611340000002656,1.0089517000000114,1.0090978000000064,1.0225154999999972,0.008635300000037205,2.6783828000000085,[-0.005],[0.0016666666666666668],[1],[0],[0],[1.6684300000000007],['cross'],592170,001,2025-05-18_15h15.20.150,untitled,2024.2.4,59.86457435987519,2025-05-18 15h15.23.646517 +0530,
"images
ature.jpg",0,0,1,1,0,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,
