path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,images.started,image.started,image.stopped,images.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\electronic.jpg,0.1,0.3,0,0,0,[0.09666666666666666],[0.3016666666666667],[1],[0],[0],[1.7440778000000137],['cross'],0,0,0,2,0.030457100000148785,,0.027575500000011743,0.5188596000000416,0.5186447999999473,2.264564000000064,[0.09666666666666666],[0.3016666666666667],[1],[0],[0],[1.7440778000000137],['cross'],2.2888136000001396,2.77988090000008,3.778911999999991,3.7649658000000272,191932,001,2025-05-18_11h04.50.624,untitled,2024.2.4,60.170788766902774,2025-05-18 11h04.59.579004 +0530,
images\person.jpg,-0.3,-0.1,1,1,0,[-0.30083333333333334],[-0.09583333333333334],[1],[0],[0],[1.834057600000051],['cross'],0,1,1,6,3.778911999999991,,3.7712977000001047,4.279339299999947,0.5149033000000145,6.114855600000055,[-0.30083333333333334],[-0.09583333333333334],[1],[0],[0],[1.834057600000051],['cross'],6.147415899999942,6.628702599999997,7.629404700000123,7.615040300000146,191932,001,2025-05-18_11h04.50.624,untitled,2024.2.4,60.170788766902774,2025-05-18 11h04.59.579004 +0530,
images\food.jpg,-0.2,0.2,2,2,0,[-0.20166666666666666],[0.2025],[1],[0],[0],[1.9169707999999446],['cross'],0,2,2,3,7.629404700000123,,7.621077799999966,8.12932160000014,0.514825799999926,10.047883299999967,[-0.20166666666666666],[0.2025],[1],[0],[0],[1.9169707999999446],['cross'],10.090556200000037,10.563343000000032,,11.563273700000082,191932,001,2025-05-18_11h04.50.624,untitled,2024.2.4,60.170788766902774,2025-05-18 11h04.59.579004 +0530,
"images
ature.jpg",0.3,0,3,3,0,,,,,,,,0,3,3,5,11.579697099999976,,11.57027519999997,12.062620500000094,0.5150496999999632,14.065660600000001,[0.30083333333333334],[0.0033333333333333335],[1],[0],[0],[2.001225599999998],['cross'],,,,,,,,,,,,
