path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,images.started,image.started,images.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.clicked_name,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
tool.jpg,0.3,0,0,0,0,0.3016666666666667,-0.0016666666666666668,1,0,0,cross,0,0,0,5,0.081827100000055,,0.06356870000001891,0.5322998000000325,1.5018997000000809,1.5081034000000955,2.0155445000000327,0.5002368000000388,3.1700102000000925,0.3016666666666667,-0.0016666666666666668,1,0,0,cross,,197749,001,2025-05-18_20h14.26.863,untitled,2024.2.4,59.8874116660797,2025-05-18 20h14.31.311571 +0530,
sport.jpg,-0.2,0.1,1,1,0,-0.20333333333333334,0.09833333333333333,1,0,0,cross,0,1,1,4,3.2150566000000254,,3.194883300000015,3.681343200000015,4.670892400000071,4.676015700000107,5.182589300000018,0.49925729999995383,6.254366800000071,-0.20333333333333334,0.09833333333333333,1,0,0,cross,4.6820675000000165,197749,001,2025-05-18_20h14.26.863,untitled,2024.2.4,59.8874116660797,2025-05-18 20h14.31.311571 +0530,
electronic.jpg,0.5,-0.4,2,2,0,0.5033333333333333,-0.395,1,0,0,cross,0,2,2,9,6.281376600000044,,6.275352400000088,6.764734599999997,7.753469900000027,7.75852430000009,8.264669300000037,0.5136040000001003,9.488137800000004,0.5033333333333333,-0.395,1,0,0,cross,7.764773800000057,197749,001,2025-05-18_20h14.26.863,untitled,2024.2.4,59.8874116660797,2025-05-18 20h14.31.311571 +0530,
animal.jpg,0.4,-0.2,3,3,0,0.4033333333333333,-0.195,1,0,0,cross,0,3,3,7,9.530383400000005,,9.51416160000008,9.998377700000106,10.98695500000008,10.992149400000017,11.497930400000087,0.5119763999999805,12.437983099999997,0.4033333333333333,-0.195,1,0,0,cross,10.9981365000001,197749,001,2025-05-18_20h14.26.863,untitled,2024.2.4,59.8874116660797,2025-05-18 20h14.31.311571 +0530,
vehicle.jpg,-0.3,-0.1,4,4,0,-0.3,-0.09833333333333333,1,0,0,cross,0,4,4,6,12.465408900000057,,12.452602900000102,12.948504300000081,13.93449750000002,13.939186100000029,14.4481052000001,0.5133292000000438,15.220182300000033,-0.3,-0.09833333333333333,1,0,0,cross,13.948794800000087,197749,001,2025-05-18_20h14.26.863,untitled,2024.2.4,59.8874116660797,2025-05-18 20h14.31.311571 +0530,
food.jpg,0,0.5,5,5,0,0.0033333333333333335,0.485,1,0,0,cross,0,5,5,0,15.265029400000003,,15.253261700000053,15.731986100000086,16.72100130000001,16.727489700000092,17.231551200000013,0.5145681000000195,18.652977700000065,0.0033333333333333335,0.485,1,0,0,cross,16.748437500000023,197749,001,2025-05-18_20h14.26.863,untitled,2024.2.4,59.8874116660797,2025-05-18 20h14.31.311571 +0530,
nature.jpg,-0.1,0.3,6,6,0,-0.10666666666666667,0.29833333333333334,1,0,0,cross,0,6,6,2,18.698691300000064,,18.679747700000007,19.16515250000009,20.1525302,20.1574710000001,20.664908100000048,0.5152087999999821,21.470568500000013,-0.10666666666666667,0.29833333333333334,1,0,0,cross,20.164835200000084,197749,001,2025-05-18_20h14.26.863,untitled,2024.2.4,59.8874116660797,2025-05-18 20h14.31.311571 +0530,
building.jpg,-0.4,-0.3,7,7,0,-0.40166666666666667,-0.2916666666666667,1,0,0,cross,0,7,7,8,21.515190800000028,,21.50496780000003,21.98175690000005,22.969594200000074,22.97420360000001,23.481884500000092,0.5148016000000553,24.621728300000086,-0.40166666666666667,-0.2916666666666667,1,0,0,cross,22.981369400000062,197749,001,2025-05-18_20h14.26.863,untitled,2024.2.4,59.8874116660797,2025-05-18 20h14.31.311571 +0530,
person.jpg,0.2,0.2,8,8,0,0.20166666666666666,0.19666666666666666,1,0,0,cross,0,8,8,3,24.66575160000002,,24.650494900000012,25.131673800000044,26.120168700000022,26.12478130000011,26.631789400000002,0.5126227999999173,27.538370800000052,0.20166666666666666,0.19666666666666666,1,0,0,cross,26.1317229,197749,001,2025-05-18_20h14.26.863,untitled,2024.2.4,59.8874116660797,2025-05-18 20h14.31.311571 +0530,
furniture.jpg,0.1,0.4,9,9,0,0.09166666666666666,0.42333333333333334,1,0,0,cross,0,9,9,1,27.5818438,,27.564886500000057,28.04795320000005,29.038040600000045,29.04352640000002,29.54859410000006,0.5137919999999667,30.470774900000038,0.09166666666666666,0.42333333333333334,1,0,0,cross,29.05061340000009,197749,001,2025-05-18_20h14.26.863,untitled,2024.2.4,59.8874116660797,2025-05-18 20h14.31.311571 +0530,
