path,xPos,yPos,marker,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.clicked_name,images.started,image.started,images.stopped,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.013501000000019303,0.014287700000011228,,,,,,,,,,,,,,,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
food.jpg,0,0.5,1,0,0,0,-0.025,0.4633333333333333,1,0,0,cross,0,0,0,0,0.04313170000000355,,,,0.03008940000000848,0.5434826000000044,0.5003447000000278,1.9510888000000364,-0.025,0.4633333333333333,1,0,0,cross,1.9944719000000077,2.4622510000000375,3.4642196000000354,,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
animal.jpg,0.4,-0.2,8,1,1,0,0.39666666666666667,-0.18666666666666668,1,0,0,cross,0,1,1,7,3.4766756000000214,,,,3.4701880000000074,3.960563200000024,0.512488200000007,5.285395499999993,0.39666666666666667,-0.18666666666666668,1,0,0,cross,5.3139609000000405,5.794009399999993,6.783855700000004,6.7934582999999975,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
electronic.jpg,0.5,-0.4,10,2,2,0,0.4816666666666667,-0.4066666666666667,1,0,0,cross,0,2,2,9,6.7934582999999975,,,,6.7888479000000075,7.295447200000012,0.5134257000000275,27.485045500000012,0.4816666666666667,-0.4066666666666667,1,0,0,cross,27.515196000000003,27.994612899999993,28.98241409999997,28.995035900000005,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
tool.jpg,0.3,0,6,3,3,0,0.2916666666666667,0.0016666666666666668,1,0,0,cross,0,3,3,5,28.995035900000005,,,,28.98873800000007,29.494818599999974,0.5127456000000166,30.551718900000026,0.2916666666666667,0.0016666666666666668,1,0,0,cross,30.57794270000005,31.060773100000063,32.05182910000002,32.07845470000001,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
nature.jpg,-0.1,0.3,3,4,4,0,-0.095,0.31666666666666665,1,0,0,cross,0,4,4,2,32.07845470000001,,,,32.05792939999998,32.56232170000004,0.5137842999999975,34.0167108,-0.095,0.31666666666666665,1,0,0,cross,34.04465160000001,34.52782570000005,35.51534120000002,35.52835970000007,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
building.jpg,-0.4,-0.3,9,5,5,0,-0.4116666666666667,-0.2783333333333333,1,0,0,cross,0,5,5,8,35.52835970000007,,,,35.52094430000005,36.02795640000005,0.5144549000000325,37.250428500000055,-0.4116666666666667,-0.2783333333333333,1,0,0,cross,37.28708980000005,37.7625936,38.76491660000005,,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
sport.jpg,-0.2,0.1,5,6,6,0,-0.205,0.095,1,0,0,cross,0,6,6,4,38.778426900000056,,,,38.770323399999995,39.26104660000004,0.5138302000000294,42.999935900000025,-0.205,0.095,1,0,0,cross,43.02556629999998,43.51173069999999,44.4999234,44.52688230000007,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
person.jpg,0.2,0.2,4,7,7,0,0.18833333333333332,0.215,1,0,0,cross,0,7,7,3,44.52688230000007,,,,44.50609170000001,45.01182190000003,0.5146872999999914,45.95168150000001,0.18833333333333332,0.215,1,0,0,cross,45.97986350000002,46.46227749999997,47.44963660000002,47.46203500000007,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
furniture.jpg,0.1,0.4,2,8,8,0,0.09,0.395,1,0,0,cross,0,8,8,1,47.46203500000007,,,,47.455156600000066,47.96168319999998,0.5132744000000002,49.0004591,0.09,0.395,1,0,0,cross,49.02751810000001,49.511587099999986,50.50001320000007,50.511641699999984,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
vehicle.jpg,-0.3,-0.1,7,9,9,0,-0.29333333333333333,-0.09166666666666666,1,0,0,cross,0,9,9,6,50.511641699999984,,,,50.505902400000025,51.0134668,0.5167491999999356,52.03499740000001,-0.29333333333333333,-0.09166666666666666,1,0,0,cross,52.0496536,52.54611080000001,53.54847350000006,,923506,001,2025-05-22_21h21.05.497,untitled,2024.2.4,59.729948954792434,2025-05-22 21h21.10.817505 +0530,
