path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.clicked_name,images.started,image.started,image.stopped,images.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.012962999986484647,0.013478599954396486,,,,,,,,,,,,,,,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
food.jpg,0,0.5,0,0,0,-0.021666666666666667,0.4716666666666667,1,0,0,cross,0,0,0,0,0.042344999965280294,,,,0.024545399995986372,0.5426596999750473,0.5003670000005513,1.232543199963402,-0.021666666666666667,0.4716666666666667,1,0,0,cross,1.2675261999829672,1.7428408999694511,2.7429648999823257,2.731595599965658,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
furniture.jpg,0.1,0.4,1,1,0,0.095,0.3616666666666667,1,0,0,cross,0,1,1,1,2.7429648999823257,,,,2.737434399954509,3.2444377999636345,0.5145261000143364,3.782421499956399,0.095,0.3616666666666667,1,0,0,cross,3.8238592999987304,4.293460899963975,5.293599399970844,5.280217799998354,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
nature.jpg,-0.1,0.3,2,2,0,-0.11166666666666666,0.32,1,0,0,cross,0,2,2,2,5.293599399970844,,,,5.2851092999917455,5.7939213999779895,0.5140626999782398,6.447892599971965,-0.11166666666666666,0.32,1,0,0,cross,6.468111299967859,6.960368299973197,7.960273399949074,7.947100899997167,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
person.jpg,0.2,0.2,3,3,0,0.2,0.205,1,0,0,cross,0,3,3,3,7.960273399949074,,,,7.9518078999826685,8.46048469998641,0.5156347999582067,9.21858849999262,0.2,0.205,1,0,0,cross,9.245658999949228,9.727895299962256,10.727398999966681,10.71430579997832,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
sport.jpg,-0.2,0.1,4,4,0,-0.18833333333333332,0.09833333333333333,1,0,0,cross,0,4,4,4,10.727398999966681,,,,10.71877419995144,11.227650199958589,0.5121693999972194,12.251432699966244,-0.18833333333333332,0.09833333333333333,1,0,0,cross,12.279391699994449,12.760479199991096,13.76145449996693,13.748837199993432,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
tool.jpg,0.3,0,5,5,0,0.2966666666666667,0.01,1,0,0,cross,0,5,5,5,13.76145449996693,,,,13.754581299959682,14.260369499970693,0.5116149000241421,15.117967600002885,0.2966666666666667,0.01,1,0,0,cross,15.153140499955043,15.627874199999496,,16.62907039996935,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
vehicle.jpg,-0.3,-0.1,6,6,0,-0.305,-0.095,1,0,0,cross,0,6,6,6,16.644143599958625,,,,16.63250089995563,17.128096899949014,0.5135185000253841,18.132945899968036,-0.305,-0.095,1,0,0,cross,18.15353969996795,18.64332969998941,19.64437039999757,19.631675499957055,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
animal.jpg,0.4,-0.2,7,7,0,0.40166666666666667,-0.2,1,0,0,cross,0,7,7,7,19.64437039999757,,,,19.63734979997389,20.144127999956254,0.5141487999935634,21.252575499995146,0.40166666666666667,-0.2,1,0,0,cross,21.274006599967834,21.76079299999401,22.76090449996991,22.74847409996437,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
building.jpg,-0.4,-0.3,8,8,0,-0.3983333333333333,-0.295,1,0,0,cross,0,8,8,8,22.76090449996991,,,,22.753253899980336,23.26099109998904,0.511788500007242,24.182732299959753,-0.3983333333333333,-0.295,1,0,0,cross,24.217961799993645,24.694384999980684,25.6940899999463,25.680880899948534,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
electronic.jpg,0.5,-0.4,9,9,0,0.47833333333333333,-0.38666666666666666,1,0,0,cross,0,9,9,9,25.6940899999463,,,,25.685593599977437,26.194538499985356,0.5151060000061989,27.336520199954975,0.47833333333333333,-0.38666666666666666,1,0,0,cross,27.368354099977296,27.845239499991294,,28.848927499959245,143026,001,2025-05-26_22h26.29.090,untitled,2024.2.4,60.48384657368427,2025-05-26 22h26.32.674840 +0530,
